SNV	cluster0	cluster1	cluster	dcf0	dcf1	dcf2	dcf3	dcf4	dcf5	dcf6
383	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
384	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
385	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
386	1	0.00012	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
387	0	1	1	0.32	0.51	0.73	0.67	0.28	0.13	0.36
388	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
389	0	1	1	0.32	0.51	0.73	0.67	0.28	0.13	0.36
390	0	1	1	0.32	0.51	0.73	0.67	0.28	0.13	0.36
391	1	0.0015	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
392	1	4.1e-05	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
393	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
394	0.4	0.6	1	0.32	0.51	0.73	0.67	0.28	0.13	0.36
395	0	1	1	0.32	0.51	0.73	0.67	0.28	0.13	0.36
396	0	1	1	0.32	0.51	0.73	0.67	0.28	0.13	0.36
397	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
398	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
399	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
400	0	1	1	0.32	0.51	0.73	0.67	0.28	0.13	0.36
401	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
402	0	1	1	0.32	0.51	0.73	0.67	0.28	0.13	0.36
403	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
404	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
405	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
406	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
407	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
408	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
409	0.023	0.98	1	0.32	0.51	0.73	0.67	0.28	0.13	0.36
410	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
411	0	1	1	0.32	0.51	0.73	0.67	0.28	0.13	0.36
412	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
413	1	3e-06	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
414	0	1	1	0.32	0.51	0.73	0.67	0.28	0.13	0.36
415	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
416	0	1	1	0.32	0.51	0.73	0.67	0.28	0.13	0.36
417	1	0.0045	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
418	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
419	0	1	1	0.32	0.51	0.73	0.67	0.28	0.13	0.36
420	0	1	1	0.32	0.51	0.73	0.67	0.28	0.13	0.36
421	0	1	1	0.32	0.51	0.73	0.67	0.28	0.13	0.36
422	0	1	1	0.32	0.51	0.73	0.67	0.28	0.13	0.36
423	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
424	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
425	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
426	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
427	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
428	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
429	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
430	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
431	0	1	1	0.32	0.51	0.73	0.67	0.28	0.13	0.36
432	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
433	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
434	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
435	0	1	1	0.32	0.51	0.73	0.67	0.28	0.13	0.36
436	0.2	0.8	1	0.32	0.51	0.73	0.67	0.28	0.13	0.36
437	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
438	0	1	1	0.32	0.51	0.73	0.67	0.28	0.13	0.36
439	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
440	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
441	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
442	0.19	0.81	1	0.32	0.51	0.73	0.67	0.28	0.13	0.36
443	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
444	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
445	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
446	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
447	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
448	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
449	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
450	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
451	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
452	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
453	0.99	0.006	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
454	0	1	1	0.32	0.51	0.73	0.67	0.28	0.13	0.36
455	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
456	0	1	1	0.32	0.51	0.73	0.67	0.28	0.13	0.36
457	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
458	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
459	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
460	0	1	1	0.32	0.51	0.73	0.67	0.28	0.13	0.36
461	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
462	0	1	1	0.32	0.51	0.73	0.67	0.28	0.13	0.36
463	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
464	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
465	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
466	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
467	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
468	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
469	0	1	1	0.32	0.51	0.73	0.67	0.28	0.13	0.36
470	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
471	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
472	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
473	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
474	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
475	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
476	0	1	1	0.32	0.51	0.73	0.67	0.28	0.13	0.36
477	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
478	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
479	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
480	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
481	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
482	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
483	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
484	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
485	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
486	0	1	1	0.32	0.51	0.73	0.67	0.28	0.13	0.36
487	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
488	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
489	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
490	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
491	0	1	1	0.32	0.51	0.73	0.67	0.28	0.13	0.36
492	0	1	1	0.32	0.51	0.73	0.67	0.28	0.13	0.36
493	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
494	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
495	0	1	1	0.32	0.51	0.73	0.67	0.28	0.13	0.36
496	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
497	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
498	0	1	1	0.32	0.51	0.73	0.67	0.28	0.13	0.36
499	0	1	1	0.32	0.51	0.73	0.67	0.28	0.13	0.36
500	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
501	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
502	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
503	0	1	1	0.32	0.51	0.73	0.67	0.28	0.13	0.36
504	0	1	1	0.32	0.51	0.73	0.67	0.28	0.13	0.36
505	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
506	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
507	0	1	1	0.32	0.51	0.73	0.67	0.28	0.13	0.36
508	0	1	1	0.32	0.51	0.73	0.67	0.28	0.13	0.36
509	0	1	1	0.32	0.51	0.73	0.67	0.28	0.13	0.36
510	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
511	0	1	1	0.32	0.51	0.73	0.67	0.28	0.13	0.36
512	0	1	1	0.32	0.51	0.73	0.67	0.28	0.13	0.36
513	0	1	1	0.32	0.51	0.73	0.67	0.28	0.13	0.36
514	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
515	0	1	1	0.32	0.51	0.73	0.67	0.28	0.13	0.36
516	0	1	1	0.32	0.51	0.73	0.67	0.28	0.13	0.36
517	0	1	1	0.32	0.51	0.73	0.67	0.28	0.13	0.36
518	0	1	1	0.32	0.51	0.73	0.67	0.28	0.13	0.36
519	0	1	1	0.32	0.51	0.73	0.67	0.28	0.13	0.36
520	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
521	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
522	0	1	1	0.32	0.51	0.73	0.67	0.28	0.13	0.36
523	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
524	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
525	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
526	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
527	0	1	1	0.32	0.51	0.73	0.67	0.28	0.13	0.36
528	0	1	1	0.32	0.51	0.73	0.67	0.28	0.13	0.36
529	0	1	1	0.32	0.51	0.73	0.67	0.28	0.13	0.36
530	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
531	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
532	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
533	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
534	0	1	1	0.32	0.51	0.73	0.67	0.28	0.13	0.36
535	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
536	0	1	1	0.32	0.51	0.73	0.67	0.28	0.13	0.36
537	0	1	1	0.32	0.51	0.73	0.67	0.28	0.13	0.36
538	0	1	1	0.32	0.51	0.73	0.67	0.28	0.13	0.36
539	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
540	0	1	1	0.32	0.51	0.73	0.67	0.28	0.13	0.36
541	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
542	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
543	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
544	0	1	1	0.32	0.51	0.73	0.67	0.28	0.13	0.36
545	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
546	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
547	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
548	0.33	0.67	1	0.32	0.51	0.73	0.67	0.28	0.13	0.36
549	0	1	1	0.32	0.51	0.73	0.67	0.28	0.13	0.36
550	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
551	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
552	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
553	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
554	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
555	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
556	0	1	1	0.32	0.51	0.73	0.67	0.28	0.13	0.36
557	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
558	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
559	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
560	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
561	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
562	0	1	1	0.32	0.51	0.73	0.67	0.28	0.13	0.36
563	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
564	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
565	1	0	0	0.076	0.11	0.06	0.037	0.08	0.097	0.36
